doi,pmid
10.1186/s13321-021-00515-1,33980298
10.1186/s13321-019-0367-2,31254167
10.1093/bioinformatics/bts577,23023984
10.1177/0300985810374845,20587689
10.1093/nar/gkw343,27137889
10.12688/f1000research.15119.1,30271575
10.1093/protein/11.10.855,9862203
10.1186/gb-2007-8-7-r129,17615057
10.1007/s00335-015-9596-5,26296321
10.1038/ng1536,15806104
10.1093/bioinformatics/btw656,28172591
10.1038/nmeth.3621,26513550
10.1186/s13059-018-1491-4,30115101
10.1186/S13321-019-0401-4,33430984
10.12688/F1000RESEARCH.24435.1,33299548
10.12688/F1000RESEARCH.26771.1,33500778
10.1093/nar/gkv1178,26582914
10.1093/nar/gkaa1080,33270898
10.1093/nar/gkx1109,29155946
10.1038/s41586-020-2888-2,33149304
10.1038/s41592-018-0302-x,30664776
10.1038/nmeth.4499,29190272
10.1093/bioinformatics/bty224,29635359
10.3835/plantgenome2015.06.0038,27898761
10.1038/hortres.2016.56,27917288
10.1093/nar/gkaa530,32558887
10.1093/nar/gkz437,31147699
10.1186/s13321-016-0115-9,26834843
10.1093/nargab/lqaa003,32002517
10.1093/bioinformatics/bty639,30052762
10.1093/bioinformatics/btz437,31141126
10.1093/nar/gkv1024,26481357
10.1371/journal.pone.0006447,19649250
10.1093/nar/gku975,25313161
10.1093/nar/gky1001,30357405
10.1093/nar/gkq431,20501601
10.1093/bioinformatics/bty474,29931276
10.1093/bioinformatics/bty463,29878047
10.1093/bioinformatics/bty667,30052776
10.1093/bioinformatics/btx462,29036591
10.1093/bioinformatics/btz432,31135038
10.1093/bioinformatics/bty067,29420675
10.1093/bioinformatics/btx561,28968746
10.1093/bioinformatics/bty522,29947803
10.1093/bioinformatics/btz358,31077296
10.1093/bioinformatics/btz250,30977807
10.1093/bioinformatics/bty1028,30590437
10.1093/bioinformatics/bty827,30247625
10.1093/bioinformatics/bty116,29490010
10.1093/bioinformatics/btx629,29444233
10.1093/bioinformatics/btx566,28968713
10.1186/s13059-016-0974-4,27268795
10.1371/journal.pcbi.1005898,29244826
10.1093/bioinformatics/bty692,30124779
10.1093/nar/gkx333,28472372
10.1093/nar/gkaa235,32297936
10.1093/nar/gkr043,21427088
10.1105/tpc.107.057190,18319396
10.1093/bioinformatics/btu355,24860159
10.1111/pbi.12281,25382230
10.1093/bioinformatics/btv069,25649618
10.1093/nar/gkx390,28498993
10.1002/prot.10175,12211035
10.1016/j.ymeth.2016.12.002,27939506
10.1093/bioinformatics/btx565,28968636
10.1093/nar/gks1055,23143270
10.1093/bioinformatics/btr304,21593132
10.1093/bioinformatics/btg111,12724303
10.1186/1471-2105-10-S6-S3,19534752
10.1186/s12859-018-2067-8,29745837
10.1186/s12859-018-2220-4,29914348
10.1093/bioinformatics/btw816,28453680
10.1093/nar/gky464,29878235
10.1093/nar/gky441,29912458
10.1186/1756-0500-3-185,20609249
10.1186/s12864-016-3288-8,27863463
10.1093/nar/gkg519,12824398
10.1186/1471-2164-9-75,18261238
10.1093/bioinformatics/btt604,24174566
10.1093/nar/gkt1146,24259429
10.1093/nar/gkr1175,22135294
10.1093/bioinformatics/btx431,29036616
10.1093/nar/gku432,24838570
10.1186/s12859-014-0427-6,25547242
10.1186/1471-2105-6-52,15762993
10.1093/nar/gkt328,23640334
10.1007/s10822-008-9255-y,19082743
10.1093/nar/gkr1097,22140103
10.1007/s13361-011-0265-y,22069037
10.1093/nar/gkg545,12824381
10.1016/S0168-9525(00)02024-2,10827456
10.1038/ng0704-664,15226743
10.1093/nar/gkv1352,26673705
10.3897/BDJ.3.e5848,26491393
10.1093/bioinformatics/btw558,27638400
10.1016/0022-2836(70)90057-4,5420325
10.1093/nar/gkv1176,26531826
10.1186/1471-2105-11-474,20860790
10.1089/cmb.2009.0196,21210730
10.1186/gb-2003-4-4-r28,12702209
10.1093/nar/gkq1008,21051359
10.3389/fpls.2011.00054,22629264
10.1093/database/bas018,22491796
10.1186/1751-0473-8-17,23987304
10.1093/bioinformatics/bts251,22543366
10.1093/nar/gkv350,25897122
10.1186/1748-7188-4-3,19183438
