PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
20430824,SATCHMO-JS: a webserver for simultaneous protein multiple sequence alignment and phylogenetic tree construction,"Hagopian R, Davidson JR, Datta RS, Samad B, Jarvis GR, Sjölander K.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W29-34. doi: 10.1093/nar/gkq298. Epub 2010 Apr 29.,Hagopian R,Nucleic Acids Res,2010,2010/05/01,PMC2896197,,10.1093/nar/gkq298
20430828,PharmMapper server: a web server for potential drug target identification using pharmacophore mapping approach,"Liu X, Ouyang S, Yu B, Liu Y, Huang K, Gong J, Zheng S, Li Z, Li H, Jiang H.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W609-14. doi: 10.1093/nar/gkq300. Epub 2010 Apr 29.,Liu X,Nucleic Acids Res,2010,2010/05/01,PMC2896160,,10.1093/nar/gkq300
20435670,PathPred: an enzyme-catalyzed metabolic pathway prediction server,"Moriya Y, Shigemizu D, Hattori M, Tokimatsu T, Kotera M, Goto S, Kanehisa M.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W138-43. doi: 10.1093/nar/gkq318. Epub 2010 Apr 30.,Moriya Y,Nucleic Acids Res,2010,2010/05/04,PMC2896155,,10.1093/nar/gkq318
20435672,i-GSEA4GWAS: a web server for identification of pathways/gene sets associated with traits by applying an improved gene set enrichment analysis to genome-wide association study,"Zhang K, Cui S, Chang S, Zhang L, Wang J.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W90-5. doi: 10.1093/nar/gkq324. Epub 2010 Apr 30.,Zhang K,Nucleic Acids Res,2010,2010/05/04,PMC2896119,,10.1093/nar/gkq324
20435676,TranslatorX: multiple alignment of nucleotide sequences guided by amino acid translations,"Abascal F, Zardoya R, Telford MJ.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W7-13. doi: 10.1093/nar/gkq291. Epub 2010 Apr 30.,Abascal F,Nucleic Acids Res,2010,2010/05/04,PMC2896173,,10.1093/nar/gkq291
20435677,agriGO: a GO analysis toolkit for the agricultural community,"Du Z, Zhou X, Ling Y, Zhang Z, Su Z.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W64-70. doi: 10.1093/nar/gkq310. Epub 2010 Apr 30.,Du Z,Nucleic Acids Res,2010,2010/05/04,PMC2896167,,10.1093/nar/gkq310
20435678,ConPlex: a server for the evolutionary conservation analysis of protein complex structures,"Choi YS, Han SK, Kim J, Yang JS, Jeon J, Ryu SH, Kim S.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W450-6. doi: 10.1093/nar/gkq328. Epub 2010 Apr 30.,Choi YS,Nucleic Acids Res,2010,2010/05/04,PMC2896159,,10.1093/nar/gkq328
20435679,ZiFiT (Zinc Finger Targeter): an updated zinc finger engineering tool,"Sander JD, Maeder ML, Reyon D, Voytas DF, Joung JK, Dobbs D.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W462-8. doi: 10.1093/nar/gkq319. Epub 2010 Apr 30.,Sander JD,Nucleic Acids Res,2010,2010/05/04,PMC2896148,,10.1093/nar/gkq319
20435682,mGenomeSubtractor: a web-based tool for parallel in silico subtractive hybridization analysis of multiple bacterial genomes,"Shao Y, He X, Harrison EM, Tai C, Ou HY, Rajakumar K, Deng Z.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W194-200. doi: 10.1093/nar/gkq326. Epub 2010 Apr 30.,Shao Y,Nucleic Acids Res,2010,2010/05/04,PMC2896100,,10.1093/nar/gkq326
20435683,Phyloscan: locating transcription-regulating binding sites in mixed aligned and unaligned sequence data,"Palumbo MJ, Newberg LA.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W268-74. doi: 10.1093/nar/gkq330. Epub 2010 Apr 30.,Palumbo MJ,Nucleic Acids Res,2010,2010/05/04,PMC2896078,,10.1093/nar/gkq330
20439312,ALTER: program-oriented conversion of DNA and protein alignments,"Glez-Peña D, Gómez-Blanco D, Reboiro-Jato M, Fdez-Riverola F, Posada D.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W14-8. doi: 10.1093/nar/gkq321. Epub 2010 May 3.,Glez-Peña D,Nucleic Acids Res,2010,2010/05/05,PMC2896128,,10.1093/nar/gkq321
20439313,G-language genome analysis environment with REST and SOAP web service interfaces,"Arakawa K, Kido N, Oshita K, Tomita M.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W700-5. doi: 10.1093/nar/gkq315. Epub 2010 May 3.,Arakawa K,Nucleic Acids Res,2010,2010/05/05,PMC2896103,,10.1093/nar/gkq315
20439314,A new bioinformatics analysis tools framework at EMBL-EBI,"Goujon M, McWilliam H, Li W, Valentin F, Squizzato S, Paern J, Lopez R.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W695-9. doi: 10.1093/nar/gkq313. Epub 2010 May 3.,Goujon M,Nucleic Acids Res,2010,2010/05/05,PMC2896090,,10.1093/nar/gkq313
20444865,MagicViewer: integrated solution for next-generation sequencing data visualization and genetic variation detection and annotation,"Hou H, Zhao F, Zhou L, Zhu E, Teng H, Li X, Bao Q, Wu J, Sun Z.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W732-6. doi: 10.1093/nar/gkq302. Epub 2010 May 5.,Hou H,Nucleic Acids Res,2010,2010/05/07,PMC2896176,,10.1093/nar/gkq302
20444866,MetExplore: a web server to link metabolomic experiments and genome-scale metabolic networks,"Cottret L, Wildridge D, Vinson F, Barrett MP, Charles H, Sagot MF, Jourdan F.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W132-7. doi: 10.1093/nar/gkq312. Epub 2010 May 5.,Cottret L,Nucleic Acids Res,2010,2010/05/07,PMC2896158,,10.1093/nar/gkq312
20444867,e-LEA3D: a computational-aided drug design web server,Douguet D.,Nucleic Acids Res. 2010 Jul;38(Web Server issue):W615-21. doi: 10.1093/nar/gkq322. Epub 2010 May 5.,Douguet D,Nucleic Acids Res,2010,2010/05/07,PMC2896156,,10.1093/nar/gkq322
20444868,E-RNAi: a web application for the multi-species design of RNAi reagents--2010 update,"Horn T, Boutros M.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W332-9. doi: 10.1093/nar/gkq317. Epub 2010 May 5.,Horn T,Nucleic Acids Res,2010,2010/05/07,PMC2896145,,10.1093/nar/gkq317
20444869,HexServer: an FFT-based protein docking server powered by graphics processors,"Macindoe G, Mavridis L, Venkatraman V, Devignes MD, Ritchie DW.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W445-9. doi: 10.1093/nar/gkq311. Epub 2010 May 5.,Macindoe G,Nucleic Acids Res,2010,2010/05/07,PMC2896144,,10.1093/nar/gkq311
20444870,SBSPKS: structure based sequence analysis of polyketide synthases,"Anand S, Prasad MV, Yadav G, Kumar N, Shehara J, Ansari MZ, Mohanty D.",Nucleic Acids Res. 2010 Jul;38(Web Server issue):W487-96. doi: 10.1093/nar/gkq340. Epub 2010 May 5.,Anand S,Nucleic Acids Res,2010,2010/05/07,PMC2896141,,10.1093/nar/gkq340
