PMID	OriginalURL DerivedURL
20507917	www.multiloc.org/YLoc	https://kohlbacherlab.org/
23448857	www.elearnSCI.org	http://www.elearnsci.org/
32067369	https://iepa.org.au/list-a-service/	https://iepa.org.au/list-a-service/
21897156	http://www.wfpiccs.org	http://www.wfpiccs.org/
23171634	www.hawaii.edu/cowielab/Angio%20website%20home.htm	http://www.hawaii.edu/cowielab/Angio%20website%20home.htm
24885235	http://www.mammainforma.it	https://www.mammainforma.it/
25994824	www.sdetmiprotiobezite.cz	http://sdetmiprotiobezite.cz/
25992565	www.allourideas.org	http://www.allourideas.org/
21632197	www.CheckYourDrinking.net	https://screen.evolutionhealth.care/cyd/
28894695	http://www.survio.com/de/	https://www.survio.com/de/
21877628	www.nassnc.org	http://www.schoolnurseconsultants.org/
31230021	www.itsoktotalk.in	http://itsoktotalk.in/
22407619	www.latunisiemedicale.com, www.scopus.com	http://www.latunisiemedicale.com/, https://www.scopus.com/home.uri
20543428	http://www.eu-acgt.org	https://www.eu-acgt.org/
20501601	http://webprinses.epfl.ch/	https://webprinses.epfl.ch/
22827475	www.webex.com/	https://www.webex.com/de/index.html
26186208	www.schoology.com	https://www.schoology.com/
20729493	www.menopausematters.co.uk	https://www.menopausematters.co.uk/
21584746	www.cure4kids.org	https://www.cure4kids.org/
22761350	www.menopausematters.co.uk	https://www.menopausematters.co.uk/
20605260	http://www.Flu.gov	https://www.cdc.gov/flu/
21838013	www.alcooquizz.ch	https://www.alcooquizz.ch/
28082935	www.ipep.hk	http://ipep.hk/
21861634	www.parentingstrategies.net	http://www.parentingstrategies.net/
23792804	http://www.snacc.org	https://www.snacc.org/
24912762	http://visualdmdx.com/	http://visualdmdx.com/
31432957	http://www.transplantardai.com.br	http://www.transplantardai.com.br/
26452388	http://bioinformatics.childhealthresearch.org.au/software/vipar/], http://bioinformatics.childhealthresearch.org.au/software/vipar/	https://www.telethonkids.org.au/, https://www.telethonkids.org.au/
21245417	http://www.verygene.com	http://www.verygene.com/
24611578	http://www.medicare.gov/hospitalcompare	https://www.medicare.gov/hospitalcompare/search.html?
30121864	http://www.surveymonkey.com	https://www.surveymonkey.com/
30071293	www.chartrounds.com	https://www.chartrounds.org/default.aspx
31965591	www.sandsc.org	http://www.sandsc.org/
32186171	http://index.baidu.com	http://index.baidu.com/v2/index.html#/
28032187	www.surgicalskills.co.za	https://www.surgicalskills.co.za/
25881089	www.twitter.com	https://twitter.com/
32265289	http://www.hospitalsenhedmidt.dk/regionshospitalet-hammel/research-unit/Prognosissoftware/	https://www.hospitalsenhedmidt.dk/regionshospitalet-hammel/research-unit/Prognosissoftware/
27427928	http://freehivselftests.weebly.com/	http://freehivselftests.weebly.com/
23809289	www.nkdep.nih.gov	https://www.niddk.nih.gov/health-information/community-health-outreach/information-clearinghouses/nkdep?dkrd=lgdmw0002
29440217	http://www.cherry-study.org	http://www.cherry-study.org/
31213215	www.USAspending.gov	https://www.usaspending.gov/
28573524	www.IVF-worldwide.com	https://ivf-worldwide.com/
30816813	https://www.hhs.gov/ohrp/regulations-and-policy/regulations/common-rule/index.html	https://www.hhs.gov/ohrp/regulations-and-policy/regulations/common-rule/index.html
31206439	www.msts.org, www.orthoguidelines.org	http://www.msts.org/, http://www.orthoguidelines.org/
23612349	www.TISEI.org	http://www.tisei.org/
23372469	http://www.understandingsleep.org	http://healthysleep.med.harvard.edu/portal/
32730951	https://pallicovid.app/	https://pallicovid.app/
27318072	www.diabetes.org, www.webmd.com	https://www.diabetes.org/, https://www.webmd.com/
22798537	www.safekidneycare.org	http://www.safekidneycare.org
21156890	www.rourkebabyrecord.ca	http://www.rourkebabyrecord.ca/
32540816	https://anofel.net/, http://www.eanofel.fr	https://anofel.net/, http://www.eanofel.fr/4daction/w3_CatVisu/en/Articles.html?wCatIDAdmin=6#&panel1-3
27211276	https://GMDI.org/	https://gmdi.org/
32040237	www.mannenmetborstkanker.nl	https://www.mannenmetborstkanker.nl/?lang=gb
29259797	https://implicit.harvard.edu	https://implicit.harvard.edu/implicit/
29989481	www.tyaiam.co.uk, www.tyahelp.co.uk	https://www.iamportal.co.uk/, http://www.tyahelp.co.uk/
31931895	https://twinsmxofficial.unam.mx/	https://twinsmxofficial.unam.mx/
20150170	www.CheckYourDrinking.net	https://screen.evolutionhealth.care/cyd/
20491523	http://ancr.nu	https://www.ancr.nu/
26055976	www.epicom-ecco.eu	https://jqkkq.dateszone.net/c/da57dc555e50572d?s1=15966&s2=56630&s3=testno17&j1=1&j3=1&click_id=64-1381-20201019033058114d4544
22004636	http://www.specialistInfo.com/	https://www.specialistinfo.com/
