ID	Original URL	Derived URL	Status	Message	Code	Certificate	Transfer size	IP Address	Timestamp	Base
https...peatmoss.online.uni-marburg.de	https://peatmoss.online.uni-marburg.de	https://peatmoss.online.uni-marburg.de/	Pass	""	200	secure	189857	137.248.186.16	2020-09-14T11:36:03.952004	peatmoss.online.uni-marburg.de
https...disprot.org	https://disprot.org	https://disprot.org/	Pass	""	200	secure	1773578	147.162.172.245	2020-09-14T11:36:09.928625	disprot.org
https...www.spatialomics.org.SpatialDB	https://www.spatialomics.org/SpatialDB	https://www.spatialomics.org/SpatialDB/	Pass	""	200	insecure	485460	47.254.74.99	2020-09-14T11:36:14.324106	www.spatialomics.org
https...mosslabtools.bb.iastate.edu.scanfold	https://mosslabtools.bb.iastate.edu/scanfold	https://mosslabtools.bb.iastate.edu/	Pass	""	200	secure	992285	129.186.138.6	2020-09-14T11:36:24.926842	mosslabtools.bb.iastate.edu
http...cr10.odz.ujf.cas.cz	http://cr10.odz.ujf.cas.cz	http://cr10.odz.ujf.cas.cz/cgi-bin/cr10.cgi?FD=2001-4-15&days=20&action=Submit	Pass	""	200	insecure	219773	147.231.24.70	2020-09-14T11:36:38.629798	cr10.odz.ujf.cas.cz
http...www.compbio.dundee.ac.uk.drsasp.html	http://www.compbio.dundee.ac.uk/drsasp.html	http://www.compbio.dundee.ac.uk/drsasp.html	Pass	""	200	insecure	1522537	134.36.65.192	2020-09-14T11:36:44.264511	www.compbio.dundee.ac.uk
https...www.biosino.org.EpiDISH	https://www.biosino.org/EpiDISH/	https://www.biosino.org/EpiDISH/	Pass	""	200	secure	3098116	202.127.3.168	2020-09-14T11:38:00.313942	www.biosino.org
http...varicarta.msl.ubc.ca	http://varicarta.msl.ubc.ca	https://varicarta.msl.ubc.ca/index	Pass	""	200	secure	321052	137.82.176.6	2020-09-14T11:38:08.507305	varicarta.msl.ubc.ca
http...www.neals.org	http://www.neals.org	https://www.neals.org/	Pass	""	200	secure	1930614	108.160.151.167	2020-09-14T11:38:19.970677	www.neals.org
https...monarchinitiative.org	https://monarchinitiative.org	https://monarchinitiative.org/	Pass	""	200	secure	1698118	128.193.83.101	2020-09-14T11:38:27.266564	monarchinitiative.org
http...jaspar.genereg.net	http://jaspar.genereg.net	http://jaspar.genereg.net/	Pass	""	200	insecure	881687	193.60.222.202	2020-09-14T11:38:34.296048	jaspar.genereg.net
http...ngs.ym.edu.tw.driverdb	http://ngs.ym.edu.tw/driverdb	http://driverdb.tms.cmu.edu.tw/	Pass	""	200	insecure	1109768	120.110.158.138	2020-09-14T11:38:45.385467	driverdb.tms.cmu.edu.tw
http...csb.cse.yzu.edu.tw.CNN-SuccSite	http://csb.cse.yzu.edu.tw/CNN-SuccSite/	http://csb.cse.yzu.edu.tw/CNN-SuccSite/	Fail	"timeout: Timed out receiving message from renderer: -0.000
  (Session info: chrome=85.0.4183.83)"					2020-09-14T11:38:56.346328	csb.cse.yzu.edu.tw
https...youtu.be.wA-RwrFiSPk	https://youtu.be/wA-RwrFiSPk	https://www.youtube.com/watch?v=wA-RwrFiSPk&feature=youtu.be	Pass	""	200	secure	2813377	172.217.16.206	2020-09-14T11:39:58.149903	www.youtube.com
www.partneringforpain.com	www.partneringforpain.com	https://www.kidsinpain.ca/partnering-for-pain	Pass	""	200	secure	478358	185.230.63.96	2020-09-14T11:40:04.642735	www.kidsinpain.ca
http...www.who.int.immunization.research.development.influenza.en.index1.html	http://www.who.int/immunization/research/development/influenza/en/index1.html	https://www.who.int/immunization/research/development/influenza/en/index1.html	Pass	""	200	secure	885908	143.204.94.120	2020-09-14T11:40:12.754334	www.who.int
http...codes.bio.thalpred	http://codes.bio/thalpred/	http://codes.bio/thalpred/	Pass	""	200	insecure	395184	138.197.101.157	2020-09-14T11:40:17.703764	codes.bio
https...www.oncowiki.co.uk	https://www.oncowiki.co.uk	https://oncowiki.co.uk/#/home	Pass	""	200	secure	584574	151.101.1.195	2020-09-14T11:40:24.173534	oncowiki.co.uk
